text,label
"I love this product",positive
"This is an amazing experience",positive
"Very good quality and excellent service",positive
"I am extremely happy with this",positive
"This product works perfectly",positive
"Absolutely fantastic and wonderful",positive
"I really enjoyed using this",positive
"The quality is very impressive",positive
"This is one of the best products",positive
"Highly recommended",positive
"The service was excellent",positive
"I am very satisfied with my purchase",positive
"This product exceeded my expectations",positive
"Great quality and fast delivery",positive
"I would definitely buy this again",positive
"Wonderful experience from start to finish",positive
"I hate this product",negative
"This is a terrible experience",negative
"Very bad quality",negative
"I am extremely disappointed",negative
"This product does not work",negative
"Absolutely horrible and frustrating",negative
"I really regret buying this",negative
"The quality is very poor",negative
"This is one of the worst products",negative
"Not recommended at all",negative
"The service was terrible",negative
"I am very unhappy with my purchase",negative
"This product failed completely",negative
"Poor quality and slow delivery",negative
"I would never buy this again",negative
"Very disappointing experience",negative
